synaptic_scale,threshold,odor_channel,stimulus_side,dn_type,left_spikes,right_spikes,ipsilateral_rate,contralateral_rate,lateral_selectivity,total_population_spikes,peak_population_fraction,late_spike_fraction
0.004,1.2,ORN_DM1,R,DNg13,0,0,0.0,0.0,0.0,33848,0.003609452404888507,0.5657645946584732
0.004,1.2,ORN_VA2,L,DNa01,0,1,0.0,0.01,-1.0,31256,0.004081830404185996,0.6069234706936268
0.004,1.2,ORN_VA2,L,DNa02,2,0,0.02,0.0,1.0,31256,0.004081830404185996,0.6069234706936268
0.004,1.2,ORN_VA2,L,DNg13,0,0,0.0,0.0,0.0,31256,0.004081830404185996,0.6069234706936268
0.004,1.2,ORN_VA2,R,DNa01,0,1,0.01,0.0,1.0,31775,0.004511815506110633,0.6017309205350118
0.004,1.2,ORN_VA2,R,DNa02,0,0,0.0,0.0,0.0,31775,0.004511815506110633,0.6017309205350118
0.004,1.2,ORN_VA2,R,DNg13,0,0,0.0,0.0,0.0,31775,0.004511815506110633,0.6017309205350118
0.008,0.8,ORN_DM1,L,DNa01,0,0,0.0,0.0,0.0,130502,0.013014619493465438,0.5413250371641813
0.008,0.8,ORN_DM1,L,DNa02,2,1,0.02,0.01,0.33333333333333337,130502,0.013014619493465438,0.5413250371641813
0.008,0.8,ORN_DM1,L,DNg13,1,1,0.01,0.01,0.0,130502,0.013014619493465438,0.5413250371641813
0.008,0.8,ORN_DM1,R,DNa01,0,1,0.01,0.0,1.0,130832,0.014328799312023837,0.5577763849822673
0.008,0.8,ORN_DM1,R,DNa02,0,1,0.01,0.0,1.0,130832,0.014328799312023837,0.5577763849822673
0.008,0.8,ORN_DM1,R,DNg13,1,0,0.0,0.01,-1.0,130832,0.014328799312023837,0.5577763849822673
0.008,0.8,ORN_VA2,L,DNa01,0,0,0.0,0.0,0.0,128439,0.012954058211504221,0.5603438208020928
0.008,0.8,ORN_VA2,L,DNa02,2,1,0.02,0.01,0.33333333333333337,128439,0.012954058211504221,0.5603438208020928
0.008,0.8,ORN_VA2,L,DNg13,1,0,0.01,0.0,1.0,128439,0.012954058211504221,0.5603438208020928
0.008,0.8,ORN_VA2,R,DNa01,0,3,0.03,0.0,1.0,135580,0.015237218541442086,0.5419162118306535
0.008,0.8,ORN_VA2,R,DNa02,0,1,0.01,0.0,1.0,135580,0.015237218541442086,0.5419162118306535
0.008,0.8,ORN_VA2,R,DNg13,0,2,0.02,0.0,1.0,135580,0.015237218541442086,0.5419162118306535
0.008,1.0,ORN_DM1,L,DNa01,0,1,0.0,0.01,-1.0,104126,0.010979760419568562,0.5404798033152143
0.008,1.0,ORN_DM1,L,DNa02,1,4,0.01,0.04,-0.6,104126,0.010979760419568562,0.5404798033152143
0.008,1.0,ORN_DM1,L,DNg13,1,1,0.01,0.01,0.0,104126,0.010979760419568562,0.5404798033152143
0.008,1.0,ORN_DM1,R,DNa01,0,1,0.01,0.0,1.0,106160,0.00984120831869769,0.5748681235870384
0.008,1.0,ORN_DM1,R,DNa02,7,13,0.13,0.07,0.3,106160,0.00984120831869769,0.5748681235870384
0.008,1.0,ORN_DM1,R,DNg13,1,2,0.02,0.01,0.33333333333333337,106160,0.00984120831869769,0.5748681235870384
0.008,1.0,ORN_VA2,L,DNa01,0,1,0.0,0.01,-1.0,92299,0.013305313646879277,0.6549150044962567
0.008,1.0,ORN_VA2,L,DNa02,10,0,0.1,0.0,1.0,92299,0.013305313646879277,0.6549150044962567
0.008,1.0,ORN_VA2,L,DNg13,0,1,0.0,0.01,-1.0,92299,0.013305313646879277,0.6549150044962567
0.008,1.0,ORN_VA2,R,DNa01,0,1,0.01,0.0,1.0,106079,0.014795121183125204,0.5445187077555407
0.008,1.0,ORN_VA2,R,DNa02,0,0,0.0,0.0,0.0,106079,0.014795121183125204,0.5445187077555407
0.008,1.0,ORN_VA2,R,DNg13,1,0,0.0,0.01,-1.0,106079,0.014795121183125204,0.5445187077555407
0.008,1.2,ORN_DM1,L,DNa01,0,1,0.0,0.01,-1.0,75309,0.009847264446893812,0.5520322936169648
0.008,1.2,ORN_DM1,L,DNa02,0,2,0.0,0.02,-1.0,75309,0.009847264446893812,0.5520322936169648
0.008,1.2,ORN_DM1,L,DNg13,0,1,0.0,0.01,-1.0,75309,0.009847264446893812,0.5520322936169648
0.008,1.2,ORN_DM1,R,DNa01,0,1,0.01,0.0,1.0,86756,0.010192463754072746,0.5566300889851998
0.008,1.2,ORN_DM1,R,DNa02,11,0,0.0,0.11,-1.0,86756,0.010192463754072746,0.5566300889851998
0.008,1.2,ORN_DM1,R,DNg13,0,0,0.0,0.0,0.0,86756,0.010192463754072746,0.5566300889851998
0.008,1.2,ORN_VA2,L,DNa01,0,1,0.0,0.01,-1.0,71189,0.009847264446893812,0.5768306901347118
0.008,1.2,ORN_VA2,L,DNa02,3,0,0.03,0.0,1.0,71189,0.009847264446893812,0.5768306901347118
0.008,1.2,ORN_VA2,L,DNg13,0,0,0.0,0.0,0.0,71189,0.009847264446893812,0.5768306901347118
0.008,1.2,ORN_VA2,R,DNa01,0,1,0.01,0.0,1.0,88167,0.010634561112389628,0.5816802204906598
0.008,1.2,ORN_VA2,R,DNa02,17,1,0.01,0.17,-0.8888888888888888,88167,0.010634561112389628,0.5816802204906598
0.008,1.2,ORN_VA2,R,DNg13,0,0,0.0,0.0,0.0,88167,0.010634561112389628,0.5816802204906598
0.016,0.8,ORN_DM1,L,DNa01,0,0,0.0,0.0,0.0,309265,0.03072879446712128,0.5416972499312886
0.016,0.8,ORN_DM1,L,DNa02,10,2,0.1,0.02,0.6666666666666666,309265,0.03072879446712128,0.5416972499312886
0.016,0.8,ORN_DM1,L,DNg13,2,1,0.02,0.01,0.33333333333333337,309265,0.03072879446712128,0.5416972499312886
0.016,0.8,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,299940,0.03244267874662371,0.5331799693271988
0.016,0.8,ORN_DM1,R,DNa02,16,2,0.02,0.16,-0.7777777777777779,299940,0.03244267874662371,0.5331799693271988
0.016,0.8,ORN_DM1,R,DNg13,2,1,0.01,0.02,-0.33333333333333337,299940,0.03244267874662371,0.5331799693271988
0.016,0.8,ORN_VA2,L,DNa01,0,0,0.0,0.0,0.0,297710,0.03398093530843861,0.5306976587954721
0.016,0.8,ORN_VA2,L,DNa02,1,2,0.01,0.02,-0.33333333333333337,297710,0.03398093530843861,0.5306976587954721
0.016,0.8,ORN_VA2,L,DNg13,1,1,0.01,0.01,0.0,297710,0.03398093530843861,0.5306976587954721
0.016,0.8,ORN_VA2,R,DNa01,0,0,0.0,0.0,0.0,281122,0.03366601664224028,0.5613328021286133
0.016,0.8,ORN_VA2,R,DNa02,12,2,0.02,0.12,-0.7142857142857143,281122,0.03366601664224028,0.5613328021286133
0.016,0.8,ORN_VA2,R,DNg13,1,1,0.01,0.01,0.0,281122,0.03366601664224028,0.5613328021286133
0.016,1.0,ORN_DM1,L,DNa01,0,3,0.0,0.03,-1.0,240922,0.02085124937924686,0.5370368833066304
0.016,1.0,ORN_DM1,L,DNa02,10,2,0.1,0.02,0.6666666666666666,240922,0.02085124937924686,0.5370368833066304
0.016,1.0,ORN_DM1,L,DNg13,0,1,0.0,0.01,-1.0,240922,0.02085124937924686,0.5370368833066304
0.016,1.0,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,233980,0.029590242366250408,0.558479357210018
0.016,1.0,ORN_DM1,R,DNa02,1,6,0.06,0.01,0.7142857142857143,233980,0.029590242366250408,0.558479357210018
0.016,1.0,ORN_DM1,R,DNg13,1,1,0.01,0.01,0.0,233980,0.029590242366250408,0.558479357210018
0.016,1.0,ORN_VA2,L,DNa01,0,0,0.0,0.0,0.0,239660,0.023194970991145942,0.536134523908871
0.016,1.0,ORN_VA2,L,DNa02,10,1,0.1,0.01,0.8181818181818182,239660,0.023194970991145942,0.536134523908871
0.016,1.0,ORN_VA2,L,DNg13,1,1,0.01,0.01,0.0,239660,0.023194970991145942,0.536134523908871
0.016,1.0,ORN_VA2,R,DNa01,0,1,0.01,0.0,1.0,251182,0.02662879567834692,0.5381635626756694
